number,name,id,tags
1,1 Minute Sit Up Test,cmpzkks2y001595rzc7pntnxj,
2,Abdominal,cmpzkksf1001x95rzxuddpcnq,
3,Abdominal Bicycles,cmr6qdm5z0000zdrzptzvxv51,catalog-merge
4,Abdominal Crunches,cmpzkkshv002595rz1n3p90nq,
5,Abdominal Planks,cmpzkkucb007795rz73ps9rj8,
6,Abdominal Scissor Kicks,cmpzkksfx001z95rzanfdn155,
7,Air Squats,cmpzjajfj000595rz07vmle0l,
8,Alternating Step Back Lunges,cmpzkkt8c003x95rzs0ju211x,
9,Alternating Step Ups Onto 12” Step or 1st or 2nd Step on Stairs,cmr6qdpr10001zdrzjtz00725,catalog-merge
10,Band Lat Pull Downs,exmq4prcsp,"home,strength"
11,Band Rear Delt Extensions,cmpzjajeu000195rzcjo4p43p,
12,Band Rotator Cuff Extensions,cmpzjajf2000295rzdzr23305,
13,Barbell Back Squat,cmpyqegap0002r7rzr0pnvzx7,"legs,strength"
14,Barbell Hip Thrust Raise,cmr6qdsqv0002zdrzqdx6ehrn,catalog-merge
15,Barbell Romanian Deadlift,cmpyqegas0003r7rzz0k0lc86,"legs,hinge"
16,Bench Press,cmpyqegat0004r7rz0klfamt0,"push,upper"
17,Bent Over Dumbbell Rear Dealt Extensions,cmr6qdtm50003zdrzjp2f10mv,catalog-merge
18,Bosu Ball Squats,cmr6qdu0j0004zdrz3mvq224y,catalog-merge
19,Box Jump,cmpyqegaw0007r7rzjv1hzqb3,"plyo,power"
20,Cable Lat Pull Downs,cmr6qdv7p0006zdrz28z8do28,catalog-merge
21,Calf Raises,cmr6qdvoi0007zdrzumv8np0g,catalog-merge
22,Calf Raises Both Legs Together,cmr6qdwvf0008zdrzno2hcv9g,catalog-merge
23,Chest Flies,ex_6ea79bf89ab74437a9edd2a05e84b062,Chest
24,Close Burnout Push-ups,cmr6qdxgr0009zdrz6tvscgm9,catalog-merge
25,Cool Down & Stretch,cmpzkks8c001j95rzjldj7mn5,
26,Double Arm Bicep Curls,cmr6qduci0005zdrzwu7ivyo4,catalog-merge
27,Double Arm Bicep Curls Both,cmpzkku1w006795rzpm98jh3i,
28,Double Arm Dumbbell Tricep Extensions,exmq4prcry,"home,strength"
29,Double Arm Frontal Shoulder Raises,cmpzkku6m006l95rzlytzhi0c,
